Code,Year,"Health insurance coverage (ILO, 2014)",BCG (% of one-year-olds immunized),HepB3 (% of one-year-olds immunized),Hib3 (% of one-year-olds immunized),MCV1 (% of one-year-olds immunized),PCV3 (% of one-year-olds immunized),Pol3 (% of one-year-olds immunized),RCV1 (% of one-year-olds immunized),RotaC (% of one-year-olds immunized),YFV (% of one-year-olds immunized),DTP3 (% of one-year-olds immunized),Entity,Estimated maternal deaths,Under-five mortality rate - Total - Deaths per 100 live births,Births attended by skilled health staff (% of total),Deaths - Sex: all - Age: 0 - Variant: estimates,Under-fifteen mortality rate,Region,Age_in_Months_Days_Years,Cause of Death,FactValueNumeric,Value
KGZ,2001,83.0,99.0,57.0,94.0,99.0,,99.0,99.0,,,99.0,Kyrgyzstan,92.54976,4.682828,98.7,4261.0,5.095342,Europe,1-59 months,Birth asphyxia and birth trauma,0.006,0.0
KGZ,2001,83.0,99.0,57.0,94.0,99.0,,99.0,99.0,,,99.0,Kyrgyzstan,92.54976,4.682828,98.7,4261.0,5.095342,Europe,1-59 months,Sepsis and other infectious conditions of the newborn,0.0,0.0
KGZ,2001,83.0,99.0,57.0,94.0,99.0,,99.0,99.0,,,99.0,Kyrgyzstan,92.54976,4.682828,98.7,4261.0,5.095342,Europe,0-4 years,"Other communicable, perinatal and nutritional conditions",0.026,0.0
KGZ,2001,83.0,99.0,57.0,94.0,99.0,,99.0,99.0,,,99.0,Kyrgyzstan,92.54976,4.682828,98.7,4261.0,5.095342,Europe,0-4 years,Other noncommunicable diseases,0.033,0.0
KGZ,2001,83.0,99.0,57.0,94.0,99.0,,99.0,99.0,,,99.0,Kyrgyzstan,92.54976,4.682828,98.7,4261.0,5.095342,Europe,0-27 days,Diarrhoeal diseases,0.0,0.0
KGZ,2001,83.0,99.0,57.0,94.0,99.0,,99.0,99.0,,,99.0,Kyrgyzstan,92.54976,4.682828,98.7,4261.0,5.095342,Europe,0-27 days,Tetanus,0.0,0.0
KGZ,2001,83.0,99.0,57.0,94.0,99.0,,99.0,99.0,,,99.0,Kyrgyzstan,92.54976,4.682828,98.7,4261.0,5.095342,Europe,0-27 days,Measles,0.0,0.0
KGZ,2001,83.0,99.0,57.0,94.0,99.0,,99.0,99.0,,,99.0,Kyrgyzstan,92.54976,4.682828,98.7,4261.0,5.095342,Europe,0-27 days,Meningitis/encephalitis,0.0,0.0
KGZ,2001,83.0,99.0,57.0,94.0,99.0,,99.0,99.0,,,99.0,Kyrgyzstan,92.54976,4.682828,98.7,4261.0,5.095342,Europe,0-27 days,Congenital anomalies,0.15,0.1
KGZ,2001,83.0,99.0,57.0,94.0,99.0,,99.0,99.0,,,99.0,Kyrgyzstan,92.54976,4.682828,98.7,4261.0,5.095342,Europe,1-59 months,Acute lower respiratory infections,0.52,0.5
